,cust,monetary,recency,frequency,R,F,M,cluster,RFM_score,class
6558,M218364992,774340.0,31.0,24.0,4,1,1,0.0,50.766930271979845,3
6559,M218425903,1250450.0,50.0,36.0,3,1,1,0.0,42.17795351465323,4
6560,M218436742,124770.0,121.0,8.0,2,1,1,0.0,33.58897675732661,4
6561,M218466452,181910.0,4.0,31.0,4,1,1,0.0,50.766930271979845,3
6562,M218526138,2309810.0,2.0,24.0,4,1,1,0.0,50.766930271979845,3
6563,M218534086,514590.0,13.0,23.0,4,1,1,1.0,50.766930271979845,3
6564,M218579697,19700.0,137.0,2.0,2,1,1,0.0,33.58897675732661,4
6565,M218627123,1009520.0,19.0,15.0,4,1,1,0.0,50.766930271979845,3
6566,M218714824,3440490.0,10.0,66.0,4,2,1,0.0,59.213159415457994,2
6567,M218756392,1319900.0,202.0,13.0,2,1,1,0.0,33.58897675732661,4
6568,M218786098,1260032.0,9.0,16.0,4,1,1,1.0,50.766930271979845,3
6570,M218888872,2705660.0,37.0,50.0,4,1,1,1.0,50.766930271979845,3
6573,M218945059,1374797.0,20.0,20.0,4,1,1,1.0,50.766930271979845,3
6574,M218947928,1212508.0,5.0,87.0,4,2,1,0.0,59.213159415457994,2
6575,M218977451,53970.0,196.0,1.0,2,1,1,3.0,33.58897675732661,4
6576,M219122647,1784600.0,2.0,75.0,4,2,1,3.0,59.213159415457994,2
6577,M219136804,159450.0,124.0,8.0,2,1,1,0.0,33.58897675732661,4
6578,M219184284,1483983.0,121.0,113.0,2,2,1,1.0,42.03520590080477,4
6579,M219201225,1679900.0,2.0,45.0,4,1,1,0.0,50.766930271979845,3
6580,M219204011,3664420.0,5.0,96.0,4,2,1,0.0,59.213159415457994,2
6581,M219252339,4690360.0,8.0,74.0,4,2,1,0.0,59.213159415457994,2
6582,M219256450,400142.0,82.0,23.0,3,1,1,0.0,42.17795351465323,4
6584,M219299076,8611864.0,7.0,100.0,4,2,1,0.0,59.213159415457994,2
6585,M219412461,436380.0,2.0,33.0,4,1,1,1.0,50.766930271979845,3
6586,M219471688,1103911.0,1.0,29.0,4,1,1,1.0,50.766930271979845,3
6587,M219508295,822480.0,2.0,23.0,4,1,1,0.0,50.766930271979845,3
6588,M219554124,1820978.0,9.0,27.0,4,1,1,0.0,50.766930271979845,3
6589,M219568871,1739840.0,3.0,17.0,4,1,1,1.0,50.766930271979845,3
6590,M219577695,574304.0,1.0,28.0,4,1,1,0.0,50.766930271979845,3
6591,M219617974,1765240.0,1.0,51.0,4,2,1,0.0,59.213159415457994,2
6592,M219635685,8758500.0,37.0,36.0,4,1,1,0.0,50.766930271979845,3
6593,M219635868,793880.0,8.0,30.0,4,1,1,1.0,50.766930271979845,3
6594,M219645066,411920.0,35.0,35.0,4,1,1,0.0,50.766930271979845,3
6596,M219693356,1415750.0,1.0,160.0,4,3,1,0.0,67.65938855893616,1
6597,M219755646,831900.0,1.0,19.0,4,1,1,0.0,50.766930271979845,3
6598,M219826079,3399641.0,36.0,97.0,4,2,1,0.0,59.213159415457994,2
6599,M219869221,893160.0,45.0,14.0,3,1,1,0.0,42.17795351465323,4
6600,M219871744,1243938.0,7.0,73.0,4,2,1,1.0,59.213159415457994,2
6601,M219877084,1546012.0,62.0,29.0,3,1,1,1.0,42.17795351465323,4
6602,M219900107,9121864.0,4.0,128.0,4,2,1,0.0,59.213159415457994,2
6603,M219942530,2514960.0,7.0,48.0,4,1,1,3.0,50.766930271979845,3
6604,M219955394,348900.0,22.0,15.0,4,1,1,0.0,50.766930271979845,3
6605,M219976112,3201950.0,1.0,222.0,4,3,1,1.0,67.65938855893616,1
6606,M220008309,1521475.0,3.0,30.0,4,1,1,1.0,50.766930271979845,3
6607,M220080238,6306416.0,1.0,195.0,4,3,1,0.0,67.65938855893616,1
6608,M220140092,747440.0,37.0,23.0,4,1,1,1.0,50.766930271979845,3
6609,M220142006,1197610.0,40.0,44.0,4,1,1,0.0,50.766930271979845,3
6610,M220148809,381550.0,62.0,11.0,3,1,1,0.0,42.17795351465323,4
6611,M220162379,3200430.0,8.0,96.0,4,2,1,0.0,59.213159415457994,2
6612,M220164684,8076170.0,15.0,88.0,4,2,1,0.0,59.213159415457994,2
6613,M220206597,1142390.0,252.0,2.0,1,1,1,0.0,25.0,4
6614,M220245264,24800.0,199.0,1.0,2,1,1,2.0,33.58897675732661,4
6616,M220322051,61890.0,280.0,1.0,1,1,1,0.0,25.0,4
6617,M220379209,9612236.0,13.0,112.0,4,2,1,0.0,59.213159415457994,2
6618,M220401946,32646310.0,3.0,63.0,4,2,2,3.0,67.17795351465323,1
6619,M220433545,13773690.0,2.0,216.0,4,3,1,0.0,67.65938855893616,1
6620,M220500029,1214080.0,12.0,20.0,4,1,1,0.0,50.766930271979845,3
6621,M220503077,390900.0,58.0,3.0,3,1,1,0.0,42.17795351465323,4
6622,M220521373,2549942.0,5.0,25.0,4,1,1,1.0,50.766930271979845,3
6623,M220530088,3041797.0,3.0,90.0,4,2,1,0.0,59.213159415457994,2
6624,M220584480,1522930.0,120.0,26.0,3,1,1,0.0,42.17795351465323,4
6625,M220654806,1063494.0,13.0,19.0,4,1,1,1.0,50.766930271979845,3
6626,M220688002,1040660.0,55.0,11.0,3,1,1,0.0,42.17795351465323,4
6627,M220702380,23403030.0,6.0,84.0,4,2,2,0.0,67.17795351465323,1
6628,M220716766,1596810.0,16.0,30.0,4,1,1,1.0,50.766930271979845,3
6629,M220751128,17130262.0,1.0,177.0,4,3,2,0.0,75.62418265813139,1
6631,M220819335,1480760.0,1.0,33.0,4,1,1,0.0,50.766930271979845,3
6632,M220820050,593648.0,7.0,17.0,4,1,1,0.0,50.766930271979845,3
6633,M220851995,15300.0,190.0,1.0,2,1,1,0.0,33.58897675732661,4
6634,M220855444,13680353.0,3.0,277.0,4,3,1,0.0,67.65938855893616,1
6635,M220891365,354330.0,3.0,11.0,4,1,1,0.0,50.766930271979845,3
6636,M220908987,3162596.0,51.0,42.0,3,1,1,3.0,42.17795351465323,4
6637,M220909341,4480142.0,12.0,74.0,4,2,1,0.0,59.213159415457994,2
6638,M221071469,12736046.0,1.0,145.0,4,3,1,0.0,67.65938855893616,1
6639,M221123624,397700.0,48.0,2.0,3,1,1,3.0,42.17795351465323,4
6640,M221139757,11071124.0,2.0,123.0,4,2,1,1.0,59.213159415457994,2
6641,M221204164,1105300.0,41.0,23.0,3,1,1,0.0,42.17795351465323,4
6642,M221221034,1135352.0,8.0,52.0,4,2,1,0.0,59.213159415457994,2
6643,M221316969,10128320.0,1.0,50.0,4,1,1,3.0,50.766930271979845,3
6644,M221328015,2806747.0,1.0,61.0,4,2,1,0.0,59.213159415457994,2
6645,M221336708,1112370.0,38.0,31.0,4,1,1,0.0,50.766930271979845,3
6646,M221340263,1117930.0,153.0,30.0,2,1,1,0.0,33.58897675732661,4
6647,M221378754,3707045.0,39.0,64.0,4,2,1,0.0,59.213159415457994,2
6648,M221389956,1087920.0,198.0,15.0,2,1,1,0.0,33.58897675732661,4
6649,M221454808,33360.0,249.0,3.0,1,1,1,0.0,25.0,4
6650,M221461336,928095.0,10.0,52.0,4,2,1,0.0,59.213159415457994,2
6653,M221649429,3617891.0,15.0,76.0,4,2,1,1.0,59.213159415457994,2
6654,M221657978,643688.0,44.0,18.0,3,1,1,0.0,42.17795351465323,4
6656,M221732730,1639140.0,13.0,27.0,4,1,1,0.0,50.766930271979845,3
6658,M221804334,614470.0,20.0,15.0,4,1,1,1.0,50.766930271979845,3
6659,M221811274,932980.0,7.0,14.0,4,1,1,3.0,50.766930271979845,3
6660,M221829588,2457536.0,282.0,31.0,1,1,1,0.0,25.0,4
6661,M221829911,537650.0,12.0,48.0,4,1,1,0.0,50.766930271979845,3
6662,M221882444,1907370.0,1.0,118.0,4,2,1,2.0,59.213159415457994,2
6663,M221908442,6479945.0,17.0,71.0,4,2,1,0.0,59.213159415457994,2
6664,M221958188,44000.0,329.0,1.0,1,1,1,2.0,25.0,4
6665,M221986580,586630.0,26.0,31.0,4,1,1,0.0,50.766930271979845,3
6667,M222044799,2170500.0,5.0,32.0,4,1,1,0.0,50.766930271979845,3
6668,M222048227,54370.0,7.0,1.0,4,1,1,0.0,50.766930271979845,3
6669,M222066510,1676310.0,11.0,39.0,4,1,1,0.0,50.766930271979845,3
6670,M222085883,229130.0,161.0,7.0,2,1,1,2.0,33.58897675732661,4
6671,M222126809,929908.0,9.0,77.0,4,2,1,0.0,59.213159415457994,2
6673,M222189290,2218680.0,1.0,44.0,4,1,1,0.0,50.766930271979845,3
6674,M222224402,489600.0,22.0,17.0,4,1,1,0.0,50.766930271979845,3
6676,M222284953,1486988.0,258.0,35.0,1,1,1,0.0,25.0,4
6677,M222290281,3838360.0,1.0,114.0,4,2,1,0.0,59.213159415457994,2
6678,M222295457,979010.0,31.0,34.0,4,1,1,3.0,50.766930271979845,3
6679,M222327184,224170.0,8.0,17.0,4,1,1,1.0,50.766930271979845,3
6680,M222329931,1135340.0,101.0,23.0,3,1,1,0.0,42.17795351465323,4
6681,M222337859,1651290.0,7.0,54.0,4,2,1,0.0,59.213159415457994,2
6682,M222353964,1707140.0,18.0,57.0,4,2,1,0.0,59.213159415457994,2
6683,M222379809,519650.0,2.0,19.0,4,1,1,0.0,50.766930271979845,3
6684,M222383568,2130420.0,40.0,21.0,4,1,1,0.0,50.766930271979845,3
6686,M222406354,1445080.0,1.0,45.0,4,1,1,0.0,50.766930271979845,3
6687,M222407577,127410.0,181.0,7.0,2,1,1,0.0,33.58897675732661,4
6688,M222421132,105460.0,163.0,2.0,2,1,1,0.0,33.58897675732661,4
6689,M222450562,1688756.0,33.0,40.0,4,1,1,0.0,50.766930271979845,3
6690,M222453403,13028220.0,3.0,134.0,4,3,1,1.0,67.65938855893616,1
6691,M222482390,32632450.0,6.0,112.0,4,2,2,0.0,67.17795351465323,1
6692,M222501555,12902520.0,5.0,151.0,4,3,1,1.0,67.65938855893616,1
6693,M222513399,1019372.0,1.0,27.0,4,1,1,0.0,50.766930271979845,3
6694,M222530056,523360.0,116.0,34.0,3,1,1,2.0,42.17795351465323,4
6695,M222554947,145170.0,8.0,6.0,4,1,1,0.0,50.766930271979845,3
6696,M222555940,2305552.0,3.0,55.0,4,2,1,0.0,59.213159415457994,2
6697,M222577368,1055676.0,3.0,169.0,4,3,1,1.0,67.65938855893616,1
6698,M222579904,4070050.0,4.0,49.0,4,1,1,0.0,50.766930271979845,3
6699,M222721817,380169.0,85.0,8.0,3,1,1,0.0,42.17795351465323,4
6701,M223003532,2240000.0,32.0,14.0,4,1,1,1.0,50.766930271979845,3
6702,M223029911,561500.0,139.0,50.0,2,1,1,0.0,33.58897675732661,4
6703,M223049384,3894586.0,2.0,68.0,4,2,1,0.0,59.213159415457994,2
6704,M223118731,186620.0,252.0,2.0,1,1,1,0.0,25.0,4
6705,M223258650,10508004.0,4.0,139.0,4,3,1,0.0,67.65938855893616,1
6706,M223303327,621096.0,27.0,41.0,4,1,1,0.0,50.766930271979845,3
6709,M223400833,2548330.0,227.0,8.0,2,1,1,1.0,33.58897675732661,4
6710,M223434109,4528404.0,224.0,41.0,2,1,1,0.0,33.58897675732661,4
6711,M223448480,1587564.0,7.0,64.0,4,2,1,0.0,59.213159415457994,2
6712,M223467977,1656939.0,1.0,43.0,4,1,1,3.0,50.766930271979845,3
6713,M223470587,90200.0,58.0,4.0,3,1,1,1.0,42.17795351465323,4
6714,M223481604,1480700.0,30.0,5.0,4,1,1,0.0,50.766930271979845,3
6715,M223630342,288963.0,12.0,27.0,4,1,1,3.0,50.766930271979845,3
6716,M223675122,92600.0,290.0,2.0,1,1,1,0.0,25.0,4
6717,M223761411,3441352.0,9.0,67.0,4,2,1,0.0,59.213159415457994,2
6718,M223766848,5370105.0,7.0,44.0,4,1,1,3.0,50.766930271979845,3
6719,M223807190,78810.0,194.0,6.0,2,1,1,1.0,33.58897675732661,4
6720,M223807903,3324710.0,7.0,71.0,4,2,1,0.0,59.213159415457994,2
6721,M223851721,3401559.0,4.0,61.0,4,2,1,0.0,59.213159415457994,2
6722,M223859967,2649382.0,7.0,34.0,4,1,1,0.0,50.766930271979845,3
6723,M223868958,828100.0,36.0,7.0,4,1,1,3.0,50.766930271979845,3
6724,M223906622,558300.0,186.0,16.0,2,1,1,0.0,33.58897675732661,4
6725,M223933059,1287030.0,13.0,43.0,4,1,1,0.0,50.766930271979845,3
6726,M223944770,603580.0,24.0,15.0,4,1,1,0.0,50.766930271979845,3
6727,M223946762,3206890.0,2.0,75.0,4,2,1,0.0,59.213159415457994,2
6728,M223975171,860470.0,2.0,18.0,4,1,1,0.0,50.766930271979845,3
6729,M223979076,8100.0,289.0,2.0,1,1,1,0.0,25.0,4
6730,M224049333,192860.0,36.0,9.0,4,1,1,0.0,50.766930271979845,3
6731,M224114297,1030742.0,2.0,13.0,4,1,1,2.0,50.766930271979845,3
6732,M224139471,59000.0,41.0,1.0,3,1,1,0.0,42.17795351465323,4
6733,M224258684,1115580.0,183.0,25.0,2,1,1,0.0,33.58897675732661,4
6734,M224282813,571900.0,68.0,6.0,3,1,1,0.0,42.17795351465323,4
6735,M224291827,1715273.0,35.0,56.0,4,2,1,2.0,59.213159415457994,2
6736,M224349974,2344700.0,20.0,21.0,4,1,1,0.0,50.766930271979845,3
6737,M224361760,1702600.0,139.0,4.0,2,1,1,1.0,33.58897675732661,4
6739,M224390005,6061320.0,17.0,101.0,4,2,1,0.0,59.213159415457994,2
6740,M224443417,21970760.0,4.0,31.0,4,1,2,3.0,58.731724371175076,2
6741,M224473145,8560189.0,2.0,143.0,4,3,1,0.0,67.65938855893616,1
6742,M224491186,1368860.0,46.0,36.0,3,1,1,0.0,42.17795351465323,4
6743,M224519972,1454300.0,49.0,13.0,3,1,1,3.0,42.17795351465323,4
6744,M224561870,1927681.0,3.0,64.0,4,2,1,0.0,59.213159415457994,2
6745,M224564035,690119.0,1.0,18.0,4,1,1,0.0,50.766930271979845,3
6746,M224574767,777300.0,143.0,4.0,2,1,1,0.0,33.58897675732661,4
6747,M224662389,217530.0,91.0,30.0,3,1,1,0.0,42.17795351465323,4
6748,M224786531,715220.0,63.0,16.0,3,1,1,3.0,42.17795351465323,4
6749,M224818618,8605280.0,200.0,42.0,2,1,1,3.0,33.58897675732661,4
6750,M224821490,1939741.0,42.0,26.0,3,1,1,1.0,42.17795351465323,4
6751,M224836985,1843660.0,7.0,58.0,4,2,1,3.0,59.213159415457994,2
6752,M224864200,258888.0,40.0,8.0,4,1,1,0.0,50.766930271979845,3
6754,M224960607,450500.0,57.0,21.0,3,1,1,0.0,42.17795351465323,4
6755,M225011419,285900.0,3.0,37.0,4,1,1,1.0,50.766930271979845,3
6757,M225046641,3271370.0,27.0,28.0,4,1,1,0.0,50.766930271979845,3
6758,M225154442,1016868.0,21.0,30.0,4,1,1,3.0,50.766930271979845,3
6760,M225197414,5234590.0,2.0,77.0,4,2,1,1.0,59.213159415457994,2
6761,M225205297,1157245.0,2.0,182.0,4,3,1,0.0,67.65938855893616,1
6763,M225453157,331570.0,17.0,6.0,4,1,1,1.0,50.766930271979845,3
6764,M225483456,2956840.0,28.0,49.0,4,1,1,0.0,50.766930271979845,3
6765,M225514529,10300740.0,1.0,164.0,4,3,1,1.0,67.65938855893616,1
6766,M225523745,1369884.0,2.0,112.0,4,2,1,3.0,59.213159415457994,2
6767,M225533187,5242600.0,5.0,86.0,4,2,1,0.0,59.213159415457994,2
6768,M225540147,193300.0,244.0,2.0,1,1,1,0.0,25.0,4
6769,M225605225,2907022.0,58.0,19.0,3,1,1,0.0,42.17795351465323,4
6771,M225634545,1498072.0,21.0,37.0,4,1,1,3.0,50.766930271979845,3
6772,M225642264,287470.0,46.0,15.0,3,1,1,0.0,42.17795351465323,4
6773,M225697478,1845920.0,9.0,47.0,4,1,1,0.0,50.766930271979845,3
6774,M225711285,2532680.0,110.0,27.0,3,1,1,0.0,42.17795351465323,4
6775,M225740886,2120472.0,1.0,41.0,4,1,1,3.0,50.766930271979845,3
6776,M225744170,1903850.0,49.0,40.0,3,1,1,0.0,42.17795351465323,4
6777,M225753585,458562.0,5.0,22.0,4,1,1,0.0,50.766930271979845,3
6778,M225759092,5958967.0,1.0,88.0,4,2,1,0.0,59.213159415457994,2
6779,M225773100,3700.0,71.0,2.0,3,1,1,0.0,42.17795351465323,4
6780,M225804180,2329570.0,41.0,52.0,3,2,1,2.0,50.62418265813138,3
6781,M225832472,156360.0,30.0,5.0,4,1,1,1.0,50.766930271979845,3
6782,M225850508,1072440.0,3.0,36.0,4,1,1,0.0,50.766930271979845,3
6783,M225853401,1371454.0,46.0,23.0,3,1,1,1.0,42.17795351465323,4
6784,M225880230,139000.0,243.0,1.0,1,1,1,0.0,25.0,4
6785,M225945863,1069407.0,2.0,46.0,4,1,1,2.0,50.766930271979845,3
6786,M225958812,1400000.0,7.0,33.0,4,1,1,0.0,50.766930271979845,3
6787,M226012366,13359125.0,4.0,161.0,4,3,1,0.0,67.65938855893616,1
6788,M226095190,3039690.0,5.0,68.0,4,2,1,0.0,59.213159415457994,2
6789,M226133736,1702492.0,1.0,135.0,4,3,1,1.0,67.65938855893616,1
6790,M226162273,11506755.0,7.0,162.0,4,3,1,0.0,67.65938855893616,1
6791,M226216100,2268082.0,278.0,20.0,1,1,1,0.0,25.0,4
6792,M226238178,767600.0,69.0,6.0,3,1,1,0.0,42.17795351465323,4
6793,M226271405,13700.0,100.0,2.0,3,1,1,0.0,42.17795351465323,4
6794,M226332649,5987815.0,3.0,80.0,4,2,1,0.0,59.213159415457994,2
6795,M226340977,21474640.0,21.0,35.0,4,1,2,0.0,58.731724371175076,2
6796,M226377509,22132464.0,1.0,135.0,4,3,2,1.0,75.62418265813139,1
6797,M226378612,3537650.0,5.0,58.0,4,2,1,0.0,59.213159415457994,2
6798,M226419325,55800.0,42.0,2.0,3,1,1,0.0,42.17795351465323,4
6800,M226517487,2689250.0,7.0,53.0,4,2,1,0.0,59.213159415457994,2
6801,M226518500,1268850.0,44.0,28.0,3,1,1,0.0,42.17795351465323,4
6803,M226584170,6990.0,224.0,1.0,2,1,1,0.0,33.58897675732661,4
6804,M226599806,871980.0,9.0,24.0,4,1,1,1.0,50.766930271979845,3
6805,M226634178,795700.0,154.0,6.0,2,1,1,0.0,33.58897675732661,4
6806,M226668931,1259596.0,5.0,21.0,4,1,1,0.0,50.766930271979845,3
6807,M226713400,820937.0,73.0,15.0,3,1,1,0.0,42.17795351465323,4
6808,M226721577,3432540.0,23.0,57.0,4,2,1,0.0,59.213159415457994,2
6809,M226786292,458400.0,83.0,10.0,3,1,1,0.0,42.17795351465323,4
6810,M226826046,1348321.0,31.0,26.0,4,1,1,0.0,50.766930271979845,3
6811,M226860636,7670899.0,2.0,65.0,4,2,1,0.0,59.213159415457994,2
6812,M226873812,788346.0,28.0,17.0,4,1,1,3.0,50.766930271979845,3
6813,M226898274,1874880.0,55.0,35.0,3,1,1,0.0,42.17795351465323,4
6814,M226940391,2972165.0,8.0,41.0,4,1,1,0.0,50.766930271979845,3
6815,M226940675,600300.0,296.0,2.0,1,1,1,0.0,25.0,4
6816,M227021825,6063779.0,1.0,104.0,4,2,1,0.0,59.213159415457994,2
6817,M227039412,709830.0,8.0,27.0,4,1,1,0.0,50.766930271979845,3
6818,M227058483,939100.0,11.0,37.0,4,1,1,2.0,50.766930271979845,3
6819,M227112289,5720930.0,22.0,66.0,4,2,1,2.0,59.213159415457994,2
6820,M227134272,1130974.0,4.0,29.0,4,1,1,1.0,50.766930271979845,3
6822,M227223130,37787850.0,3.0,88.0,4,2,2,1.0,67.17795351465323,1
6823,M227236773,1881769.0,7.0,32.0,4,1,1,1.0,50.766930271979845,3
6824,M227284166,18037926.0,3.0,95.0,4,2,2,0.0,67.17795351465323,1
6825,M227296110,174482.0,210.0,3.0,2,1,1,0.0,33.58897675732661,4
6826,M227306387,3530540.0,3.0,24.0,4,1,1,0.0,50.766930271979845,3
6827,M227342586,2111720.0,2.0,22.0,4,1,1,0.0,50.766930271979845,3
6828,M227386710,3101246.0,21.0,53.0,4,2,1,2.0,59.213159415457994,2
6829,M227399628,244882.0,28.0,5.0,4,1,1,2.0,50.766930271979845,3
6830,M227423887,5767497.0,9.0,160.0,4,3,1,0.0,67.65938855893616,1
6831,M227598269,2431320.0,3.0,47.0,4,1,1,1.0,50.766930271979845,3
6832,M227606445,2327774.0,73.0,28.0,3,1,1,0.0,42.17795351465323,4
6833,M227613737,607340.0,280.0,4.0,1,1,1,0.0,25.0,4
6834,M227679899,344900.0,152.0,10.0,2,1,1,0.0,33.58897675732661,4
6835,M227760376,39000.0,22.0,1.0,4,1,1,0.0,50.766930271979845,3
6836,M227764478,988260.0,7.0,11.0,4,1,1,2.0,50.766930271979845,3
6837,M227777051,78920.0,9.0,5.0,4,1,1,0.0,50.766930271979845,3
6838,M227842923,192500.0,29.0,6.0,4,1,1,0.0,50.766930271979845,3
6839,M227861690,18565000.0,57.0,3.0,3,1,2,2.0,50.14274761384847,3
6840,M227913236,1752810.0,15.0,46.0,4,1,1,0.0,50.766930271979845,3
6841,M227955302,5489002.0,3.0,125.0,4,2,1,0.0,59.213159415457994,2
6842,M227972894,183130.0,3.0,10.0,4,1,1,1.0,50.766930271979845,3
6843,M228010141,761350.0,220.0,29.0,2,1,1,0.0,33.58897675732661,4
6844,M228022825,3640370.0,8.0,53.0,4,2,1,1.0,59.213159415457994,2
6846,M228104961,1238060.0,2.0,28.0,4,1,1,0.0,50.766930271979845,3
6847,M228124728,1059954.0,36.0,18.0,4,1,1,0.0,50.766930271979845,3
6848,M228124869,5758920.0,38.0,81.0,4,2,1,0.0,59.213159415457994,2
6849,M228135740,584480.0,3.0,20.0,4,1,1,1.0,50.766930271979845,3
6851,M228309845,27000.0,12.0,5.0,4,1,1,2.0,50.766930271979845,3
6852,M228343874,1953530.0,15.0,48.0,4,1,1,2.0,50.766930271979845,3
6855,M228438897,2373421.0,43.0,27.0,3,1,1,0.0,42.17795351465323,4
6856,M228477221,514519.0,81.0,21.0,3,1,1,1.0,42.17795351465323,4
6857,M228499540,98100.0,349.0,1.0,1,1,1,0.0,25.0,4
6858,M228508070,15144590.0,7.0,85.0,4,2,2,1.0,67.17795351465323,1
6859,M228540902,815720.0,26.0,22.0,4,1,1,0.0,50.766930271979845,3
6860,M228564991,112900.0,19.0,20.0,4,1,1,1.0,50.766930271979845,3
6861,M228636853,1372246.0,110.0,60.0,3,2,1,0.0,50.62418265813138,3
6862,M228680412,1402346.0,18.0,79.0,4,2,1,0.0,59.213159415457994,2
6863,M228684381,2864808.0,10.0,43.0,4,1,1,1.0,50.766930271979845,3
6864,M228686495,5591981.0,1.0,46.0,4,1,1,0.0,50.766930271979845,3
6866,M228735506,17516990.0,35.0,124.0,4,2,2,0.0,67.17795351465323,1
6867,M228770795,1186927.0,7.0,36.0,4,1,1,0.0,50.766930271979845,3
6869,M228917086,1199866.0,12.0,27.0,4,1,1,0.0,50.766930271979845,3
6870,M228922973,5725512.0,35.0,98.0,4,2,1,0.0,59.213159415457994,2
6871,M228934898,51917609.0,1.0,140.0,4,3,2,0.0,75.62418265813139,1
6872,M228986382,1035740.0,94.0,10.0,3,1,1,3.0,42.17795351465323,4
6874,M229098573,324400.0,6.0,12.0,4,1,1,0.0,50.766930271979845,3
6876,M229179302,112020.0,231.0,13.0,1,1,1,0.0,25.0,4
6877,M229222551,739470.0,28.0,37.0,4,1,1,0.0,50.766930271979845,3
6878,M229269266,4262260.0,5.0,31.0,4,1,1,0.0,50.766930271979845,3
6879,M229309621,1809994.0,5.0,28.0,4,1,1,0.0,50.766930271979845,3
6880,M229374472,6060640.0,3.0,114.0,4,2,1,2.0,59.213159415457994,2
6881,M229513203,1820788.0,72.0,79.0,3,2,1,0.0,50.62418265813138,3
6882,M229707145,2979260.0,3.0,83.0,4,2,1,0.0,59.213159415457994,2
6884,M229792980,372458.0,50.0,28.0,3,1,1,1.0,42.17795351465323,4
6885,M229805007,437224.0,232.0,8.0,1,1,1,0.0,25.0,4
6886,M229865575,79300.0,43.0,6.0,3,1,1,0.0,42.17795351465323,4
6887,M229874831,2158550.0,42.0,20.0,3,1,1,1.0,42.17795351465323,4
6888,M229924836,9439856.0,1.0,231.0,4,3,1,1.0,67.65938855893616,1
6890,M229940248,1931970.0,3.0,47.0,4,1,1,0.0,50.766930271979845,3
6891,M229977630,668820.0,2.0,26.0,4,1,1,0.0,50.766930271979845,3
6892,M229993212,255350.0,259.0,6.0,1,1,1,0.0,25.0,4
6895,M230190089,6862946.0,10.0,66.0,4,2,1,0.0,59.213159415457994,2
6896,M230203488,1863760.0,139.0,23.0,2,1,1,1.0,33.58897675732661,4
6897,M230243193,32400.0,5.0,3.0,4,1,1,0.0,50.766930271979845,3
6898,M230266402,1873308.0,31.0,34.0,4,1,1,0.0,50.766930271979845,3
6899,M230295252,4555900.0,22.0,131.0,4,2,1,2.0,59.213159415457994,2
6900,M230381270,124100.0,16.0,8.0,4,1,1,0.0,50.766930271979845,3
6901,M230387823,2862040.0,14.0,31.0,4,1,1,0.0,50.766930271979845,3
6902,M230468929,492969.0,28.0,16.0,4,1,1,0.0,50.766930271979845,3
6903,M230490811,683050.0,2.0,143.0,4,3,1,1.0,67.65938855893616,1
6904,M230511234,2881240.0,23.0,68.0,4,2,1,0.0,59.213159415457994,2
6905,M230556415,2528530.0,1.0,54.0,4,2,1,1.0,59.213159415457994,2
6906,M230587989,78900.0,227.0,1.0,2,1,1,1.0,33.58897675732661,4
6907,M230655049,1382392.0,1.0,62.0,4,2,1,0.0,59.213159415457994,2
6908,M230663860,1725850.0,7.0,25.0,4,1,1,0.0,50.766930271979845,3
6909,M230684657,718320.0,6.0,21.0,4,1,1,0.0,50.766930271979845,3
6910,M230695901,1113075.0,8.0,44.0,4,1,1,1.0,50.766930271979845,3
6911,M230727706,519377.0,65.0,31.0,3,1,1,0.0,42.17795351465323,4
6912,M230730960,2771480.0,50.0,49.0,3,1,1,0.0,42.17795351465323,4
6913,M230778602,105000.0,338.0,1.0,1,1,1,0.0,25.0,4
6914,M230798743,684530.0,48.0,31.0,3,1,1,0.0,42.17795351465323,4
6915,M230864755,979888.0,4.0,21.0,4,1,1,0.0,50.766930271979845,3
6916,M230920597,215710.0,40.0,20.0,4,1,1,0.0,50.766930271979845,3
6917,M230941155,9735849.0,3.0,141.0,4,3,1,0.0,67.65938855893616,1
6918,M230976524,154348980.0,6.0,187.0,4,3,3,2.0,83.58897675732662,1
6919,M230994266,458400.0,14.0,22.0,4,1,1,0.0,50.766930271979845,3
6921,M231080273,1258510.0,1.0,33.0,4,1,1,1.0,50.766930271979845,3
6922,M231121222,1763420.0,2.0,108.0,4,2,1,2.0,59.213159415457994,2
6923,M231130491,465630.0,46.0,24.0,3,1,1,1.0,42.17795351465323,4
6924,M231139676,1808500.0,19.0,41.0,4,1,1,0.0,50.766930271979845,3
6925,M231223129,364970.0,2.0,77.0,4,2,1,0.0,59.213159415457994,2
6926,M231264470,28149820.0,4.0,69.0,4,2,2,0.0,67.17795351465323,1
6927,M231280512,9961367.0,1.0,241.0,4,3,1,0.0,67.65938855893616,1
6928,M231343917,4320082.0,1.0,57.0,4,2,1,0.0,59.213159415457994,2
6931,M231407828,269824.0,14.0,33.0,4,1,1,0.0,50.766930271979845,3
6932,M231415032,108000.0,147.0,4.0,2,1,1,0.0,33.58897675732661,4
6933,M231437484,69000.0,293.0,1.0,1,1,1,0.0,25.0,4
6934,M231441509,3675810.0,1.0,161.0,4,3,1,1.0,67.65938855893616,1
6935,M231452338,1568966.0,37.0,45.0,4,1,1,0.0,50.766930271979845,3
6936,M231522379,655570.0,13.0,28.0,4,1,1,0.0,50.766930271979845,3
