,cust,male,ages,zon_hlv,most_common_visiting,max_buy_am,most_common_time,Lpay_user,twice_product
8496,M314733533,0,30,Z04,Z04,35900.0,9,1,67
8497,M314794317,0,30,Z17,Z17,30000.0,12,1,22
8498,M314940965,1,60,Z13,Z17,15800.0,21,0,14
8499,M315019444,1,40,Z10,Z10,88000.0,13,1,86
8500,M315117122,0,30,Z11,Z11,90300.0,16,0,70
8501,M315140364,1,20,Z17,Z14,398400.0,18,0,12
8502,M315206393,0,60,Z17,Z17,155100.0,19,0,12
8503,M315212599,1,30,Z17,Z17,310000.0,17,0,1
8504,M315229993,1,40,Z16,Z16,1270000.0,17,0,82
8505,M315259748,0,30,Z10,Z17,1238580.0,20,1,125
8506,M315291402,1,70,Z17,Z17,27800.0,13,0,2
8507,M315360471,1,50,Z17,Z17,210000.0,20,1,83
8508,M315373544,0,60,Z17,Z17,176000.0,14,0,11
8509,M315572773,0,40,Z17,Z04,30000.0,20,0,1
8510,M315614864,1,40,Z03,[],19460.0,4,0,1
8511,M315630689,0,40,Z17,Z17,99900.0,18,0,29
8512,M315656623,0,50,Z17,Z17,200000.0,16,0,60
8513,M315665222,1,70,Z10,Z10,40095.0,12,0,37
8514,M315728274,0,30,Z17,Z17,49900.0,15,1,34
8515,M315762123,1,30,Z10,Z10,429500.0,[12 15],0,6
8516,M315821279,0,50,Z16,Z16,65760.0,10,0,22
8517,M315863520,0,50,Z10,Z10,6600.0,9,0,0
8518,M315877346,0,20,Z16,Z16,45000.0,14,0,7
8519,M315886613,0,40,Z10,Z10,300000.0,15,0,11
8520,M315943865,0,50,Z17,Z17,1380600.0,12,0,12
8521,M315988868,0,40,Z17,Z17,275000.0,12,1,31
8522,M315992788,0,30,Z01,Z17,139500.0,16,0,4
8523,M316000354,0,40,Z10,Z10,108000.0,12,1,20
8524,M316005704,0,40,Z06,Z06,599000.0,16,0,27
8525,M316013304,1,30,Z11,Z11,150000.0,18,0,19
8526,M316030973,0,30,Z10,Z10,401900.0,11,1,11
8527,M316060325,1,30,Z10,Z17,39000.0,18,0,2
8528,M316093156,1,40,Z11,Z11,89900.0,21,0,28
8529,M316099984,0,40,Z11,Z11,307100.0,16,0,24
8530,M316111200,0,30,Z17,Z17,129000.0,16,1,11
8531,M316114583,1,30,Z14,Z14,33540.0,20,1,5
8532,M316171414,0,40,Z13,Z13,415000.0,20,1,14
8533,M316172133,0,30,Z10,Z10,238000.0,13,1,2
8534,M316296461,0,40,Z12,Z16,754500.0,[17 18],0,5
8535,M316365590,0,50,Z10,Z10,63800.0,[14 15],1,25
8536,M316371481,1,50,Z10,Z10,47900.0,19,0,1
8537,M316420692,0,50,Z17,Z17,169000.0,13,0,5
8538,M316481461,0,30,Z10,[],218000.0,16,0,0
8539,M316503189,1,30,Z08,Z09,11980.0,13,0,17
8540,M316548775,1,20,Z17,Z17,990000.0,19,1,6
8541,M316585475,1,40,Z17,Z17,474970.0,15,0,0
8542,M316595391,1,50,Z10,Z10,113000.0,21,0,10
8543,M316688229,1,40,Z05,Z05,18000.0,19,0,0
8544,M316729912,0,30,Z12,Z12,85000.0,13,0,14
8545,M316900455,0,50,Z17,Z17,178000.0,20,0,23
8546,M316916825,0,30,Z15,Z15,54400.0,16,0,36
8547,M316929703,0,40,Z17,Z17,870000.0,16,1,7
8548,M316949570,1,40,Z10,Z10,60000.0,20,0,15
8549,M316965370,1,30,Z16,Z16,1384000.0,19,0,7
8550,M317006714,0,30,Z11,Z11,31800.0,12,1,42
8551,M317026243,0,40,Z10,Z06,399000.0,18,0,28
8552,M317067272,0,30,Z12,Z12,395000.0,16,0,30
8553,M317074363,0,40,Z17,Z17,234000.0,11,1,7
8554,M317144228,0,40,Z10,Z06,168000.0,19,1,69
8555,M317185587,0,20,Z10,Z10,279000.0,14,0,0
8556,M317199016,0,40,Z17,Z17,2150000.0,11,0,41
8557,M317217561,0,20,Z14,Z14,179000.0,15,1,11
8558,M317243878,1,30,Z04,Z04,540000.0,[19 20],0,0
8559,M317318928,1,30,Z17,Z07,299000.0,[20 22],1,6
8560,M317338389,0,60,Z13,Z13,290000.0,22,0,1
8561,M317405932,1,40,Z17,Z10,921500.0,13,1,58
8562,M317409381,0,40,Z11,Z11,239200.0,[15 17],0,9
8563,M317416678,1,40,Z17,Z17,291000.0,15,1,14
8564,M317423966,0,30,Z06,Z06,99000.0,15,1,27
8565,M317470114,0,50,Z10,Z10,393000.0,14,1,138
8566,M317511746,0,60,Z17,Z17,20908.0,21,0,18
8567,M317515254,1,20,Z01,Z01,45900.0,22,1,87
8568,M317579045,0,40,Z10,Z10,511200.0,14,0,48
8569,M317593440,0,50,Z17,Z17,169000.0,17,0,12
8570,M317597846,1,50,Z10,Z10,278600.0,14,0,9
8571,M317683714,1,40,Z17,Z17,139600.0,19,0,71
8572,M317697839,1,40,Z10,Z10,207200.0,12,0,1
8573,M317778161,0,30,Z03,Z03,940000.0,15,1,49
8574,M317780193,0,40,Z10,Z17,119000.0,18,1,30
8575,M317815845,1,40,Z04,[],50000.0,16,0,0
8576,M317817105,1,30,Z17,Z17,199000.0,18,0,1
8577,M317849762,1,40,Z10,Z10,750000.0,13,1,40
8578,M317852652,0,40,Z10,Z10,215550.0,12,1,5
8579,M317887063,1,50,Z10,Z10,119900.0,22,0,69
8580,M317916211,0,40,Z04,Z04,200160.0,17,1,10
8581,M317962727,0,40,Z10,Z10,1371400.0,14,1,23
8582,M318041837,1,50,Z10,Z10,1870000.0,12,1,94
8583,M318082150,0,50,Z16,Z16,241400.0,8,1,101
8584,M318149507,1,40,Z13,Z13,25000.0,18,0,10
8585,M318204051,0,50,Z10,Z17,252000.0,14,0,152
8586,M318231204,1,30,Z17,Z17,180000.0,13,1,4
8587,M318249295,0,30,Z10,Z10,640000.0,21,1,10
8588,M318251692,0,40,Z13,Z13,191200.0,17,1,19
8589,M318258663,0,20,Z17,Z17,149000.0,13,0,5
8590,M318266980,0,40,Z16,Z16,56000.0,19,0,6
8591,M318295202,0,70,Z17,Z17,800000.0,17,0,30
8592,M318396188,0,30,Z17,Z10,399000.0,[ 8 11 12 16 22 23],0,1
8593,M318434546,0,30,Z11,Z11,480700.0,13,0,12
8594,M318489269,0,30,Z13,Z13,96600.0,9,1,26
8595,M318501345,1,70,Z12,Z12,226000.0,15,0,1
8596,M318543286,0,40,Z16,Z16,418600.0,[14 15 17],0,5
8597,M318544745,0,20,Z04,Z04,1040000.0,13,0,5
8598,M318582448,1,60,Z17,Z09,357000.0,22,1,63
8599,M318589252,0,50,Z10,Z10,49000.0,16,0,57
8600,M318640944,1,40,Z02,Z15,179000.0,18,0,12
8601,M318648083,1,20,Z09,Z09,250000.0,22,0,61
8602,M318681530,0,30,Z08,Z17,105000.0,16,0,123
8603,M318682461,0,20,Z12,Z12,287000.0,15,0,1
8604,M318708537,1,30,Z16,Z16,307300.0,18,0,2
8605,M318746298,0,40,Z10,Z10,48872.0,12,1,68
8606,M318747485,0,40,Z09,Z09,142200.0,17,0,29
8607,M318747977,0,40,Z17,Z17,172000.0,16,0,17
8608,M318760015,1,50,Z10,Z10,14500.0,17,0,0
8609,M318802112,0,30,Z16,Z16,1870000.0,16,1,12
8610,M318825849,0,30,Z16,['Z16' 'Z17'],169900.0,13,0,3
8611,M318851307,0,60,Z16,Z16,4310000.0,15,0,110
8612,M318866238,0,40,Z06,Z06,264600.0,15,0,8
8613,M318886202,0,40,Z10,[],107600.0,9,1,24
8614,M318888511,1,30,Z10,Z10,159000.0,21,1,7
8615,M318907428,0,40,Z14,Z14,221000.0,16,1,49
8616,M318932957,1,20,Z10,Z17,144000.0,19,0,2
8617,M318936920,0,70,Z17,Z17,39800.0,18,0,10
8618,M318956605,0,50,Z10,Z10,300000.0,18,0,15
8619,M319021075,0,50,Z11,Z11,49500.0,17,0,25
8620,M319027655,0,50,Z10,Z10,235300.0,19,0,2
8621,M319217755,1,40,Z10,Z01,2000.0,8,0,0
8622,M319227400,1,30,Z04,Z04,72000.0,10,0,67
8623,M319256712,0,40,Z02,Z15,2230000.0,13,1,10
8624,M319396775,0,50,Z10,Z10,68600.0,17,0,11
8625,M319444852,1,50,Z17,Z17,28900.0,17,1,53
8626,M319447873,1,30,Z12,Z12,21000.0,19,0,14
8627,M319629964,0,50,Z10,Z02,219000.0,21,1,10
8628,M319672173,0,20,Z17,Z17,8000.0,12,0,0
8629,M319712317,0,40,Z05,Z13,439200.0,23,0,11
8630,M319716081,0,40,Z11,Z11,44700.0,17,1,13
8631,M319830779,0,30,Z03,Z03,138600.0,17,0,0
8632,M319855640,0,30,Z16,Z16,870000.0,22,1,20
8633,M319930340,0,30,Z17,Z17,40000000.0,17,1,31
8634,M319952639,0,70,Z10,Z10,39000.0,19,0,2
8635,M319962200,0,30,Z10,Z17,1600000.0,17,1,18
8636,M320170691,1,40,Z04,Z04,1550000.0,17,1,81
8637,M320180610,0,50,Z17,Z17,670000.0,14,0,21
8638,M320192165,0,40,Z13,Z13,718000.0,13,0,13
8639,M320200378,0,20,Z17,Z17,114000.0,16,0,0
8640,M320242251,0,30,Z10,Z10,8980.0,16,0,8
8641,M320245107,0,60,Z01,Z01,59800.0,12,0,50
8642,M320259635,0,20,Z17,Z17,59000.0,19,0,3
8643,M320266492,0,30,Z17,Z17,485000.0,[12 13],0,39
8644,M320274463,1,30,Z16,Z11,47400.0,16,0,2
8645,M320278616,0,40,Z08,Z08,52200.0,14,0,91
8646,M320288174,1,20,Z15,[],1129000.0,18,1,1
8647,M320333767,1,40,Z17,Z17,179000.0,16,0,12
8648,M320340974,1,40,Z04,Z04,38940.0,15,0,1
8649,M320355671,1,40,Z17,Z17,394800.0,19,0,39
8650,M320366214,0,40,Z10,Z10,239200.0,13,1,12
8651,M320369102,1,30,Z10,Z17,325000.0,15,1,10
8652,M320398100,0,50,Z10,Z10,578000.0,13,0,9
8653,M320474582,0,30,Z16,Z16,399000.0,12,0,16
8654,M320478742,0,40,Z17,Z17,20000.0,22,1,79
8655,M320482567,0,50,Z10,Z10,160000.0,15,0,12
8656,M320504719,1,30,Z10,Z17,500000.0,1,1,3
8657,M320578473,1,30,Z04,Z04,2710000.0,10,1,3
8658,M320645751,0,50,Z10,Z10,87200.0,14,0,172
8659,M320684237,0,30,Z17,Z10,75000.0,18,0,12
8660,M320795128,0,50,Z12,Z12,66240.0,14,0,11
8661,M320839085,1,30,Z17,Z17,6000.0,19,1,8
8662,M320905913,0,30,Z17,Z17,97300.0,14,0,1
8663,M320952979,1,40,Z10,Z10,259000.0,20,0,28
8664,M320959723,0,40,Z17,Z17,50554.0,18,0,1
8665,M320972555,0,40,Z11,Z11,280000.0,[11 16],0,0
8666,M321012544,0,30,Z11,Z11,51300.0,15,1,9
8667,M321081949,0,30,Z11,Z11,109000.0,14,1,18
8668,M321086382,0,30,Z11,Z16,784000.0,13,0,6
8669,M321104982,0,60,Z06,Z06,47000.0,14,0,0
8670,M321124022,0,50,Z17,Z17,90000.0,11,0,6
8671,M321132897,0,40,Z17,Z10,239400.0,14,1,56
8672,M321155887,0,30,Z13,Z13,1799000.0,11,0,97
8673,M321170502,0,50,Z11,Z11,3300000.0,18,0,24
8674,M321230803,1,70,Z17,Z17,120000.0,11,0,3
8675,M321234091,0,40,Z17,Z17,841050.0,15,0,6
8676,M321234098,1,30,Z09,Z09,11600.0,0,0,5
8677,M321237929,1,40,Z10,Z10,560200.0,14,1,17
8678,M321256020,1,30,Z08,Z08,1466640.0,17,1,7
8679,M321261599,1,50,Z03,Z08,8900.0,20,0,1
8680,M321331060,0,50,Z16,Z16,2942000.0,16,1,58
8681,M321355386,0,20,Z17,Z17,49800.0,[10 12 19],0,0
8682,M321360816,0,60,Z17,Z17,54000.0,21,1,30
8683,M321378195,1,60,Z10,Z10,79600.0,18,0,20
8684,M321378546,0,40,Z10,Z17,61000.0,21,0,6
8685,M321406719,0,40,Z03,Z03,259200.0,17,0,31
8686,M321408439,1,50,Z10,Z10,52000.0,[17 21],1,8
8687,M321458360,1,40,Z17,Z17,288000.0,19,1,7
8688,M321458946,0,30,Z10,Z10,7300.0,22,0,0
8689,M321489284,0,50,Z16,Z16,80000.0,17,1,6
8690,M321497306,0,30,Z17,Z17,227810.0,18,1,40
8691,M321512476,0,40,Z10,Z10,252000.0,18,1,27
8692,M321540232,0,30,Z17,Z17,139000.0,13,0,4
8693,M321545775,1,50,Z16,Z16,29000.0,15,0,0
8694,M321567885,0,50,Z17,Z17,79000.0,17,0,8
8695,M321580125,1,40,Z10,Z10,3199000.0,13,0,3
8696,M321580932,0,30,Z10,Z10,3750000.0,13,0,33
8697,M321614034,1,40,Z14,Z14,69000.0,16,0,0
8698,M321629381,0,30,Z10,Z10,180000.0,17,0,12
8699,M321652667,0,20,Z13,Z13,7500.0,17,0,0
8700,M321722540,0,30,Z13,Z13,299400.0,18,0,0
8701,M321725725,0,50,Z10,Z10,281000.0,11,0,3
8702,M321739504,0,30,Z13,Z13,83200.0,13,1,21
8703,M321763286,0,30,Z05,[],40500.0,23,0,1
8704,M321820340,0,40,Z11,Z11,1850000.0,12,1,39
8705,M321838718,1,20,Z17,Z17,21300.0,12,0,0
8706,M321883421,0,40,Z17,Z17,92600.0,[20 21],1,34
8707,M321922863,1,40,Z06,Z06,1290000.0,15,1,57
8708,M321959073,0,30,Z17,Z17,2200000.0,13,0,5
8709,M321971552,1,40,Z17,[],85000.0,14,0,0
8710,M322022701,0,40,Z10,['Z10' 'Z17'],42000.0,9,1,19
8711,M322041565,1,50,Z15,Z15,149000.0,16,0,0
8712,M322115744,0,30,Z09,Z09,59000.0,16,0,35
8713,M322123494,0,50,Z17,Z17,345000.0,16,0,9
8714,M322128243,1,40,Z05,Z05,27900.0,21,0,30
8715,M322153853,0,20,Z10,Z10,55000.0,23,0,5
8716,M322171962,1,30,Z11,Z11,179100.0,19,0,27
8717,M322256849,0,40,Z13,Z13,199200.0,21,1,22
8718,M322269123,1,40,Z17,Z17,157000.0,18,0,9
8719,M322272032,1,40,Z17,Z17,258000.0,18,1,29
8720,M322302645,0,50,Z17,Z17,5500.0,17,0,13
8721,M322349359,1,50,Z04,Z04,363000.0,19,1,15
8722,M322391036,1,70,Z13,Z05,180600.0,16,0,6
8723,M322400539,0,30,Z10,[],24900.0,15,0,1
8724,M322402534,0,60,Z16,Z16,159000.0,16,0,12
8725,M322404724,0,20,Z17,Z17,20000.0,19,0,47
8726,M322407438,1,30,Z17,Z17,439000.0,13,0,24
8727,M322484393,0,30,Z11,Z11,41200.0,19,0,0
8728,M322639302,1,50,Z04,Z04,25550.0,17,0,13
8729,M322687277,1,30,Z13,Z13,45000.0,16,0,12
8730,M322697741,1,20,Z17,Z17,600000.0,20,1,51
8731,M322741023,0,50,Z17,Z17,203200.0,19,0,3
8732,M322748032,1,30,Z17,Z17,6100000.0,18,0,10
8733,M322748819,0,50,Z06,Z06,1490000.0,17,0,29
8734,M322791042,1,30,Z17,Z17,94200.0,19,0,0
8735,M322823090,1,20,Z11,Z06,30000.0,19,0,30
8736,M322827955,0,40,Z11,Z11,150000.0,18,0,21
8737,M322829657,1,50,Z17,Z17,389000.0,18,1,130
8738,M322857864,0,40,Z17,Z17,299000.0,15,0,9
8739,M322867689,1,30,Z13,Z13,35920.0,13,1,1
8740,M322887015,0,40,Z04,Z04,28800.0,18,0,22
8741,M322955906,0,50,Z11,Z16,333000.0,15,0,32
8742,M322961163,0,50,Z17,Z17,19900.0,[10 12],0,0
8743,M322969422,0,20,Z10,Z10,58000.0,18,0,12
8744,M322987922,1,60,Z16,Z11,80000.0,11,0,27
8745,M323029767,0,60,Z16,Z16,233000.0,14,1,118
8746,M323062130,0,40,Z17,Z17,40200.0,17,0,34
8747,M323086466,0,40,Z10,Z17,559000.0,15,1,50
8748,M323141564,0,20,Z17,Z17,29600.0,[19 21 22],0,1
8749,M323179777,0,40,Z17,Z17,109600.0,21,0,7
8750,M323181973,1,50,Z10,Z10,172000.0,21,1,12
8751,M323192018,1,40,Z03,Z03,231300.0,17,1,88
8752,M323248516,0,50,Z10,Z17,279000.0,[13 19],0,8
8753,M323248733,1,40,Z10,Z10,2250000.0,16,1,18
8754,M323283612,1,40,Z11,Z11,136000.0,18,0,9
8755,M323325062,0,20,Z10,Z17,167400.0,16,1,21
8756,M323341319,1,60,Z10,Z10,20470.0,18,0,1
8757,M323414624,0,20,Z10,Z10,59900.0,17,0,0
8758,M323478230,1,50,Z11,Z11,175000.0,11,1,1
8759,M323527454,0,40,Z17,Z17,2942000.0,17,0,50
8760,M323534950,0,40,Z14,Z14,542000.0,18,1,93
8761,M323552275,0,50,Z17,Z17,36800.0,16,0,75
8762,M323573864,1,30,Z17,Z05,415000.0,18,0,15
8763,M323616339,0,20,Z01,Z01,12600.0,11,0,1
8764,M323702255,0,30,Z17,Z17,170000.0,14,0,52
8765,M323773246,1,40,Z17,Z17,3410000.0,14,0,28
8766,M323780056,0,60,Z11,Z11,70000.0,18,0,9
8767,M323820517,1,40,Z04,Z04,17800.0,15,0,5
8768,M323856995,0,40,Z17,Z17,83800.0,11,1,72
8769,M323874785,0,50,Z16,Z16,121720.0,[13 16],0,7
8770,M323898174,0,20,Z11,Z08,188700.0,17,0,19
8771,M323904777,1,50,Z05,Z13,139500.0,16,0,7
8772,M323909309,0,30,Z15,Z15,15100.0,[16 17],0,1
8773,M323942409,0,40,Z17,Z10,44100.0,14,0,2
8774,M323992447,0,50,Z10,Z10,350000.0,15,0,5
8775,M324024929,1,30,Z17,Z17,480000.0,16,0,0
8776,M324060558,0,30,Z16,[],504000.0,12,0,2
8777,M324114257,1,30,Z16,Z16,110000.0,8,0,9
8778,M324254958,0,50,Z17,Z17,300000.0,19,1,24
8779,M324260086,1,30,Z13,Z13,175000.0,[19 21],1,8
8780,M324269764,0,30,Z17,Z17,305100.0,[11 14 16 21],1,2
8781,M324330159,0,20,Z13,Z13,29000.0,16,0,1
8782,M324397906,0,40,Z17,[],69800.0,0,0,58
8783,M324408612,1,40,Z14,Z14,85000.0,21,1,49
8784,M324452563,0,30,Z17,Z17,359100.0,14,1,21
8785,M324482167,1,40,Z10,Z10,239800.0,17,1,35
8786,M324501877,0,40,Z17,Z17,359000.0,18,1,34
8787,M324501961,1,40,Z17,Z17,4540000.0,7,1,17
8788,M324530769,0,40,Z10,Z10,138000.0,10,1,48
8789,M324640589,0,40,Z10,Z10,36800.0,11,0,4
8790,M324667472,0,30,Z10,Z10,199000.0,21,0,26
8791,M324745715,0,30,Z04,Z04,15000.0,21,0,6
8792,M324778650,0,50,Z16,Z16,2038000.0,13,1,26
8793,M324801261,0,40,Z17,Z10,352000.0,13,1,36
8794,M324850117,0,20,Z17,Z17,634500.0,17,0,5
8795,M324851971,1,30,Z05,Z17,8990.0,13,0,30
8796,M324896636,1,20,Z17,Z17,98000.0,[12 15],1,8
8797,M324974913,0,30,Z10,Z08,114500.0,9,0,27
8798,M325174024,0,30,Z11,Z11,514000.0,13,1,69
8799,M325185653,0,40,Z15,Z15,17900.0,7,1,22
8800,M325194586,0,40,Z17,Z17,83000.0,20,0,58
8801,M325250694,0,40,Z11,Z11,109600.0,12,0,77
8802,M325371026,0,50,Z16,Z16,69800.0,17,0,4
8803,M325473730,1,30,Z17,Z17,219000.0,21,1,53
8804,M325527038,0,30,Z01,Z01,72000.0,20,1,51
8805,M325594504,0,30,Z04,Z04,169000.0,[12 14],0,3
8806,M325626575,0,60,Z06,Z06,395100.0,13,0,4
8807,M325658504,0,50,Z17,Z17,129000.0,16,1,71
8808,M325661634,0,40,Z17,Z17,450000.0,18,1,57
8809,M325680090,0,60,Z17,Z17,1201000.0,17,0,24
8810,M325687895,1,40,Z17,Z10,299000.0,13,0,19
8811,M325753090,1,40,Z10,Z17,9810.0,12,0,0
8812,M325756878,0,40,Z10,Z10,377000.0,17,1,77
8813,M325773400,1,40,Z17,Z17,600000.0,16,1,39
8814,M325787623,0,40,Z04,Z04,4518000.0,16,1,75
8815,M325791407,0,50,Z11,Z11,1112000.0,21,0,20
8816,M325797641,0,40,Z17,Z17,643000.0,17,0,19
8817,M325857891,1,40,Z08,Z08,59900.0,17,0,24
8818,M325866047,1,30,Z17,Z17,90600.0,13,1,9
8819,M325964550,0,40,Z10,Z10,415000.0,17,0,34
8820,M325986732,0,50,Z10,Z17,2610000.0,17,1,35
8821,M325988726,0,50,Z17,Z17,12771.0,19,0,22
8822,M326053153,0,40,Z04,Z04,68400.0,18,1,56
8823,M326088453,0,20,Z15,Z07,6000.0,12,0,5
8824,M326092093,1,30,Z17,Z17,358400.0,17,1,61
8825,M326107280,0,40,Z16,Z16,4220000.0,17,1,53
8826,M326147179,0,30,Z16,Z13,2825000.0,19,1,36
8827,M326169019,1,40,Z17,Z17,334400.0,15,0,40
8828,M326256100,0,50,Z16,Z16,1900000.0,11,1,12
8829,M326257678,0,30,Z17,Z17,63700.0,12,1,5
8830,M326341051,1,40,Z13,Z10,54800.0,16,1,27
8831,M326432427,1,30,Z11,Z11,60000.0,[19 22],1,14
8832,M326433502,1,20,Z17,Z17,1235000.0,17,1,73
8833,M326503256,1,30,Z17,Z17,507600.0,[10 18],0,47
8834,M326557740,0,20,Z17,Z17,19000.0,16,0,1
8835,M326576683,0,30,Z16,Z16,448200.0,17,1,6
8836,M326612814,1,30,Z17,Z17,408000.0,17,1,36
8837,M326639341,0,40,Z04,Z04,578000.0,14,0,32
8838,M326659420,0,20,Z10,Z17,169000.0,14,1,31
8839,M326659925,1,40,Z01,Z17,1667740.0,23,1,18
8840,M326669503,0,40,Z06,Z06,59800.0,20,0,156
8841,M326686050,0,50,Z03,Z16,399000.0,15,0,7
8842,M326735463,1,40,Z10,Z10,680000.0,21,1,7
8843,M326779588,1,50,Z16,Z16,149000.0,18,0,4
8844,M326835236,0,20,Z13,Z13,579000.0,18,0,16
8845,M326845509,0,40,Z03,Z03,2830000.0,12,1,10
8846,M326891614,0,60,Z16,Z16,138000.0,13,0,4
8847,M326939197,1,30,Z10,Z10,229000.0,11,0,0
8848,M326961541,0,50,Z17,Z17,1716000.0,15,0,112
8849,M326979523,1,20,Z10,Z16,70000.0,17,0,10
8850,M326984748,1,50,Z17,Z17,34900.0,15,0,8
8851,M327032435,0,50,Z16,Z16,5800000.0,18,0,13
8852,M327062654,1,60,Z10,Z10,12800.0,[14 18],0,4
8853,M327062656,0,60,Z14,Z14,312000.0,16,0,22
8854,M327112752,0,40,Z17,Z17,89000.0,16,1,9
8855,M327138708,0,40,Z10,Z04,49800.0,21,0,3
8856,M327167467,0,40,Z16,Z16,150000.0,18,0,5
8857,M327182297,1,40,Z04,Z04,27800.0,18,1,37
8858,M327240283,0,20,Z16,Z16,143200.0,16,0,1
8859,M327328168,1,70,Z10,Z10,9240.0,[11 14],0,6
8860,M327415950,1,40,Z04,Z04,27800.0,21,0,1
8861,M327416993,1,50,Z14,Z14,37500.0,9,0,0
8862,M327440685,1,30,Z10,Z10,149000.0,21,1,28
8863,M327445014,1,50,Z10,Z17,98300.0,12,0,11
8864,M327471741,1,60,Z03,Z03,65000.0,11,0,8
8865,M327481806,0,50,Z10,Z10,120000.0,16,0,15
8866,M327578120,1,70,Z16,Z16,49000.0,14,0,1
8867,M327588166,0,40,Z01,Z01,249000.0,12,0,26
8868,M327601000,1,40,Z06,Z06,29800.0,17,0,50
8869,M327660499,0,50,Z10,Z10,49000.0,17,1,23
8870,M327684414,1,50,Z11,Z11,12800.0,16,0,6
8871,M327707427,1,60,Z13,Z13,32000.0,16,0,0
8872,M327728651,0,50,Z09,Z09,24490.0,17,0,44
8873,M327743399,1,40,Z10,Z17,399000.0,9,1,87
8874,M327828700,1,20,Z01,Z08,15000.0,12,0,1
8875,M327829156,0,30,Z04,Z04,39900.0,14,0,0
8876,M327856415,1,30,Z10,Z10,264700.0,19,0,15
8877,M327887027,1,60,Z13,Z13,6300.0,[11 12 15],1,1
8878,M327935530,1,30,Z14,Z14,340000.0,20,0,11
8879,M327949933,1,30,Z01,Z01,75400.0,17,1,23
8880,M327989504,0,40,Z07,Z07,232200.0,14,1,115
8881,M328049393,0,40,Z10,Z10,543000.0,11,0,24
8882,M328068668,1,30,Z10,Z17,371050.0,12,1,24
8883,M328077932,0,60,Z17,Z17,30000.0,16,0,2
8884,M328088705,0,30,Z17,Z17,315000.0,19,1,9
8885,M328103924,0,40,Z10,Z03,1400000.0,15,0,7
8886,M328214043,0,50,Z01,Z13,295000.0,14,0,9
8887,M328299849,0,60,Z17,Z17,249000.0,15,0,13
8888,M328309141,1,30,Z15,Z15,41174.0,18,0,4
8889,M328345701,0,30,Z12,Z12,71600.0,12,1,5
8890,M328356758,1,30,Z10,Z10,308700.0,19,1,11
8891,M328371495,0,40,Z17,Z17,25000.0,7,1,1
8892,M328491765,1,50,Z11,Z11,110000.0,20,1,37
8893,M328541886,1,40,Z11,[],75000.0,12,0,0
8894,M328651609,0,60,Z17,[],63800.0,11,1,77
8895,M328657691,1,30,Z10,Z10,199000.0,19,0,12
8896,M328677616,0,40,Z16,Z16,181300.0,19,0,8
8897,M328765161,1,40,Z10,Z17,37800.0,17,0,1
8898,M328827253,0,40,Z17,Z17,136500.0,17,0,27
8899,M328833329,0,30,Z15,[],199200.0,21,0,1
8900,M328875210,0,30,Z17,Z17,65700.0,19,1,4
8901,M328901841,0,40,Z08,Z06,39800.0,16,0,7
8902,M328937840,0,40,Z16,Z16,274500.0,17,0,28
8903,M328981765,0,50,Z17,Z17,179000.0,15,0,9
8904,M329061842,0,40,Z10,Z10,119000.0,19,0,15
8905,M329062512,0,40,Z10,Z10,39000.0,11,0,5
8906,M329110845,0,40,Z05,Z05,299400.0,19,0,121
8907,M329162920,1,60,Z16,Z16,45800.0,13,0,39
8908,M329243018,1,30,Z17,Z17,34900.0,8,1,11
8909,M329251341,1,30,Z10,Z10,52900.0,16,1,18
8910,M329294566,0,50,Z17,Z17,144000.0,15,0,82
8911,M329379634,1,40,Z17,Z17,3278000.0,12,0,23
8912,M329388265,0,40,Z17,Z17,10800.0,19,0,10
8913,M329421946,1,30,Z17,Z17,258000.0,19,1,95
8914,M329450492,1,30,Z06,Z06,100000.0,[12 20],0,0
8915,M329479673,0,60,Z04,Z04,179000.0,21,0,9
8916,M329500988,0,40,Z11,Z11,83300.0,13,0,47
8917,M329501024,1,20,Z05,[],6600.0,19,0,0
8918,M329575630,0,30,Z17,[],21900.0,21,0,0
8919,M329626859,0,30,Z08,Z08,159000.0,14,0,81
8920,M329659157,0,30,Z06,Z06,5720000.0,19,1,37
8921,M329669184,0,30,Z13,Z13,79400.0,12,1,43
8922,M329687991,0,50,Z17,Z17,8990.0,17,0,18
8923,M329823490,1,40,Z16,Z16,1510500.0,12,0,27
8924,M329827393,1,30,Z09,Z09,46000.0,21,1,65
8925,M329832810,0,50,Z11,Z11,5155000.0,13,0,30
8926,M329852581,0,50,Z17,Z17,2874600.0,17,0,41
8927,M329862613,0,30,Z11,Z11,47200.0,12,0,0
8928,M329883680,1,20,Z17,Z17,30000.0,14,0,6
8929,M330016442,0,30,Z17,Z17,1411000.0,17,1,33
8930,M330022418,1,50,Z16,Z16,1071000.0,18,0,2
8931,M330037488,0,40,Z10,Z17,69000.0,19,0,0
8932,M330039696,0,30,Z10,Z10,6000000.0,14,1,53
8933,M330042695,0,50,Z12,Z12,159000.0,18,0,2
8934,M330125390,1,20,Z17,Z17,199000.0,19,0,5
8935,M330126604,0,50,Z10,Z10,55000.0,21,0,29
8936,M330197517,0,30,Z10,Z01,97600.0,16,1,28
8937,M330204436,0,40,Z04,Z04,17755.0,14,0,79
8938,M330268690,0,70,Z06,Z06,15000.0,14,0,0
8939,M330277227,0,40,Z15,Z15,1632000.0,20,0,101
8940,M330326760,1,30,Z17,Z17,1190000.0,11,0,20
